	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV112	unknown	unknown	unknown	unknown	unknown
ASV113	unknown	unknown	unknown	unknown	unknown
ASV114	yes	unknown	negative	unknown	no
ASV115	unknown	unknown	unknown	unknown	unknown
ASV116	unknown	unknown	unknown	unknown	unknown
ASV117	unknown	unknown	unknown	unknown	unknown
ASV118	unknown	unknown	unknown	unknown	unknown
ASV119	unknown	unknown	unknown	unknown	unknown
ASV120	yes	anaerobe	negative	unknown	no
ASV121	no	unknown	unknown	unknown	unknown
ASV122	unknown	unknown	unknown	unknown	unknown
ASV123	unknown	unknown	unknown	unknown	unknown
ASV124	yes	anaerobe	unknown	unknown	unknown
ASV125	unknown	unknown	unknown	unknown	unknown
ASV126	unknown	unknown	unknown	unknown	unknown
ASV127	unknown	unknown	unknown	unknown	unknown
ASV128	unknown	unknown	unknown	unknown	unknown
ASV129	unknown	unknown	unknown	unknown	unknown
ASV130	yes	anaerobe	unknown	unknown	unknown
ASV131	unknown	unknown	unknown	unknown	unknown
ASV132	yes	anaerobe	unknown	unknown	unknown
ASV133	yes	anaerobe	negative	unknown	no
ASV134	unknown	unknown	unknown	unknown	unknown
ASV135	unknown	unknown	unknown	unknown	unknown
ASV136	yes	anaerobe	unknown	unknown	unknown
ASV137	yes	anaerobe	unknown	unknown	unknown
ASV138	yes	anaerobe	unknown	unknown	unknown
ASV139	unknown	unknown	unknown	unknown	unknown
ASV140	unknown	unknown	unknown	unknown	unknown
ASV141	yes	anaerobe	unknown	unknown	unknown
ASV142	unknown	unknown	unknown	unknown	unknown
ASV143	unknown	unknown	unknown	unknown	unknown
ASV144	unknown	unknown	unknown	unknown	unknown
ASV145	unknown	unknown	unknown	unknown	unknown
ASV146	unknown	unknown	unknown	unknown	unknown
ASV147	unknown	unknown	unknown	unknown	unknown
ASV148	unknown	unknown	unknown	unknown	unknown
ASV149	unknown	unknown	unknown	unknown	unknown
ASV150	unknown	unknown	unknown	unknown	unknown
ASV151	unknown	unknown	unknown	unknown	unknown
ASV152	unknown	unknown	unknown	unknown	unknown
ASV153	no	unknown	unknown	unknown	unknown
ASV154	unknown	unknown	unknown	unknown	unknown
ASV155	yes	unknown	unknown	unknown	unknown
ASV156	unknown	unknown	unknown	unknown	unknown
ASV157	unknown	unknown	unknown	unknown	unknown
ASV158	unknown	unknown	unknown	unknown	unknown
ASV159	unknown	unknown	unknown	unknown	unknown
ASV160	yes	anaerobe	unknown	unknown	unknown
ASV161	unknown	unknown	unknown	unknown	unknown
ASV162	unknown	unknown	unknown	unknown	unknown
ASV163	unknown	unknown	unknown	unknown	unknown
ASV164	yes	anaerobe	unknown	unknown	unknown
ASV165	unknown	unknown	unknown	unknown	unknown
ASV166	unknown	unknown	unknown	unknown	unknown
ASV167	yes	unknown	unknown	unknown	unknown
ASV168	no	unknown	unknown	unknown	unknown
ASV169	unknown	unknown	unknown	unknown	unknown
ASV170	unknown	unknown	unknown	unknown	unknown
ASV171	unknown	unknown	unknown	unknown	unknown
ASV172	unknown	unknown	unknown	unknown	unknown
ASV173	unknown	unknown	unknown	unknown	unknown
ASV174	yes	anaerobe	unknown	unknown	unknown
ASV175	unknown	unknown	unknown	unknown	unknown
ASV176	yes	anaerobe	unknown	unknown	unknown
ASV177	unknown	unknown	unknown	unknown	unknown
ASV178	yes	unknown	unknown	unknown	unknown
ASV179	unknown	unknown	unknown	unknown	unknown
ASV180	unknown	unknown	unknown	unknown	unknown
ASV181	unknown	unknown	unknown	unknown	unknown
ASV182	unknown	unknown	unknown	unknown	unknown
ASV183	unknown	unknown	unknown	unknown	unknown
ASV184	unknown	unknown	unknown	unknown	unknown
ASV185	yes	unknown	unknown	unknown	unknown
ASV186	unknown	unknown	unknown	unknown	unknown
ASV187	unknown	unknown	unknown	unknown	unknown
ASV188	yes	unknown	negative	unknown	no
ASV189	unknown	unknown	unknown	unknown	unknown
ASV190	unknown	unknown	unknown	unknown	unknown
ASV191	unknown	unknown	unknown	unknown	unknown
ASV192	unknown	unknown	unknown	unknown	unknown
ASV193	yes	unknown	unknown	unknown	unknown
ASV194	unknown	unknown	unknown	unknown	unknown
ASV195	unknown	unknown	unknown	unknown	unknown
ASV196	yes	unknown	positive	unknown	no
ASV197	unknown	unknown	unknown	unknown	unknown
ASV198	unknown	unknown	unknown	unknown	unknown
ASV199	unknown	unknown	unknown	unknown	unknown
ASV200	unknown	unknown	unknown	unknown	unknown
ASV201	unknown	unknown	unknown	unknown	unknown
ASV202	unknown	unknown	unknown	unknown	unknown
ASV203	unknown	unknown	unknown	unknown	unknown
ASV204	unknown	unknown	unknown	unknown	unknown
ASV205	yes	anaerobe	unknown	unknown	unknown
ASV206	unknown	unknown	unknown	unknown	unknown
ASV207	unknown	unknown	unknown	unknown	unknown
ASV208	unknown	unknown	unknown	unknown	unknown
ASV209	unknown	unknown	unknown	unknown	unknown
ASV210	unknown	unknown	unknown	unknown	unknown
ASV211	yes	unknown	unknown	unknown	unknown
ASV212	unknown	unknown	unknown	unknown	unknown
ASV213	unknown	unknown	unknown	unknown	unknown
ASV214	unknown	unknown	unknown	unknown	unknown
ASV215	yes	unknown	unknown	unknown	unknown
ASV216	unknown	unknown	unknown	unknown	unknown
ASV217	yes	anaerobe	unknown	unknown	unknown
ASV218	unknown	unknown	unknown	unknown	unknown
ASV219	unknown	unknown	unknown	unknown	unknown
ASV220	yes	anaerobe	unknown	unknown	unknown
ASV221	unknown	unknown	unknown	unknown	unknown
ASV222	unknown	unknown	unknown	unknown	unknown
ASV223	unknown	unknown	unknown	unknown	unknown
ASV224	unknown	unknown	unknown	unknown	unknown
ASV225	unknown	unknown	unknown	unknown	unknown
ASV226	unknown	unknown	unknown	unknown	unknown
ASV227	unknown	unknown	unknown	unknown	unknown
ASV228	unknown	unknown	unknown	unknown	unknown
ASV229	unknown	unknown	unknown	unknown	unknown
ASV230	unknown	unknown	unknown	unknown	unknown
ASV231	yes	unknown	unknown	unknown	unknown
ASV232	yes	anaerobe	unknown	unknown	unknown
ASV233	unknown	unknown	unknown	unknown	unknown
ASV234	yes	unknown	unknown	unknown	unknown
ASV235	unknown	unknown	unknown	unknown	unknown
ASV236	unknown	unknown	unknown	unknown	unknown
ASV237	unknown	unknown	unknown	unknown	unknown
ASV238	unknown	unknown	unknown	unknown	unknown
ASV239	unknown	unknown	unknown	unknown	unknown
ASV240	yes	anaerobe	unknown	unknown	unknown
ASV241	unknown	unknown	unknown	unknown	unknown
ASV242	unknown	unknown	unknown	unknown	unknown
ASV243	unknown	unknown	unknown	unknown	unknown
ASV244	unknown	unknown	unknown	unknown	unknown
ASV245	unknown	unknown	unknown	unknown	unknown
ASV246	unknown	unknown	unknown	unknown	unknown
ASV247	unknown	unknown	unknown	unknown	unknown
ASV248	no	unknown	unknown	unknown	unknown
ASV249	unknown	unknown	unknown	unknown	unknown
ASV250	unknown	unknown	unknown	unknown	unknown
ASV251	yes	unknown	unknown	unknown	unknown
ASV252	yes	anaerobe	negative	unknown	no
ASV253	unknown	unknown	unknown	unknown	unknown
ASV254	unknown	unknown	unknown	unknown	unknown
ASV255	unknown	unknown	unknown	unknown	unknown
ASV256	unknown	unknown	unknown	unknown	unknown
ASV257	unknown	unknown	unknown	unknown	unknown
ASV258	unknown	unknown	unknown	unknown	unknown
ASV259	unknown	unknown	unknown	unknown	unknown
ASV260	unknown	unknown	unknown	unknown	unknown
ASV261	unknown	unknown	unknown	unknown	unknown
ASV262	unknown	unknown	unknown	unknown	unknown
ASV263	unknown	unknown	unknown	unknown	unknown
ASV264	unknown	unknown	unknown	unknown	unknown
ASV265	unknown	unknown	unknown	unknown	unknown
ASV266	unknown	unknown	unknown	unknown	unknown
ASV267	unknown	unknown	unknown	unknown	unknown
ASV268	yes	unknown	unknown	unknown	unknown
ASV269	unknown	unknown	unknown	unknown	unknown
ASV270	unknown	unknown	unknown	unknown	unknown
ASV271	yes	anaerobe	unknown	unknown	unknown
ASV272	unknown	unknown	unknown	unknown	unknown
ASV273	unknown	unknown	unknown	unknown	unknown
ASV274	unknown	unknown	unknown	unknown	unknown
ASV275	yes	anaerobe	unknown	unknown	unknown
ASV276	unknown	unknown	unknown	unknown	unknown
ASV277	unknown	unknown	unknown	unknown	unknown
ASV278	unknown	unknown	unknown	unknown	unknown
ASV279	unknown	unknown	unknown	unknown	unknown
ASV280	unknown	unknown	unknown	unknown	unknown
ASV281	unknown	unknown	unknown	unknown	unknown
ASV282	unknown	unknown	unknown	unknown	unknown
ASV283	unknown	unknown	unknown	unknown	unknown
ASV284	unknown	unknown	unknown	unknown	unknown
ASV285	unknown	unknown	unknown	unknown	unknown
ASV286	unknown	unknown	unknown	unknown	unknown
ASV287	unknown	unknown	unknown	unknown	unknown
ASV288	unknown	unknown	unknown	unknown	unknown
ASV289	unknown	unknown	unknown	unknown	unknown
ASV290	unknown	unknown	unknown	unknown	unknown
ASV291	yes	mixed	unknown	unknown	unknown
ASV292	unknown	unknown	unknown	unknown	unknown
ASV293	unknown	unknown	unknown	unknown	unknown
ASV294	unknown	unknown	unknown	unknown	unknown
ASV295	yes	unknown	negative	unknown	no
