	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV325	unknown	unknown	unknown	unknown	unknown
ASV326	unknown	unknown	unknown	unknown	unknown
ASV330	unknown	unknown	unknown	unknown	unknown
ASV333	yes	anaerobe	unknown	unknown	unknown
ASV334	unknown	unknown	unknown	unknown	unknown
ASV336	unknown	unknown	unknown	unknown	unknown
ASV337	unknown	unknown	unknown	unknown	unknown
ASV338	unknown	unknown	unknown	unknown	unknown
ASV339	unknown	unknown	unknown	unknown	unknown
ASV340	unknown	unknown	unknown	unknown	unknown
ASV341	unknown	unknown	unknown	unknown	unknown
ASV343	unknown	unknown	unknown	unknown	unknown
ASV344	unknown	unknown	unknown	unknown	unknown
ASV345	unknown	unknown	unknown	unknown	unknown
ASV346	yes	anaerobe	unknown	unknown	unknown
ASV347	unknown	unknown	unknown	unknown	unknown
ASV348	unknown	unknown	unknown	unknown	unknown
ASV349	unknown	unknown	unknown	unknown	unknown
ASV352	unknown	unknown	unknown	unknown	unknown
ASV353	unknown	unknown	unknown	unknown	unknown
ASV354	yes	unknown	negative	unknown	no
ASV355	unknown	unknown	unknown	unknown	unknown
ASV358	unknown	unknown	unknown	unknown	unknown
ASV359	unknown	unknown	unknown	unknown	unknown
ASV360	unknown	unknown	unknown	unknown	unknown
ASV361	unknown	unknown	unknown	unknown	unknown
ASV362	unknown	unknown	unknown	unknown	unknown
ASV364	unknown	unknown	unknown	unknown	unknown
ASV365	unknown	unknown	unknown	unknown	unknown
ASV366	unknown	unknown	unknown	unknown	unknown
ASV367	unknown	unknown	unknown	unknown	unknown
ASV368	unknown	unknown	unknown	unknown	unknown
ASV369	unknown	unknown	unknown	unknown	unknown
ASV370	unknown	unknown	unknown	unknown	unknown
ASV371	unknown	unknown	unknown	unknown	unknown
ASV374	unknown	unknown	unknown	unknown	unknown
ASV378	unknown	unknown	unknown	unknown	unknown
ASV379	unknown	unknown	unknown	unknown	unknown
ASV386	unknown	unknown	unknown	unknown	unknown
ASV387	unknown	unknown	unknown	unknown	unknown
ASV389	unknown	unknown	unknown	unknown	unknown
ASV390	unknown	unknown	unknown	unknown	unknown
ASV391	unknown	unknown	unknown	unknown	unknown
ASV392	unknown	unknown	unknown	unknown	unknown
ASV393	yes	mixed	unknown	unknown	unknown
ASV394	unknown	unknown	unknown	unknown	unknown
ASV395	unknown	unknown	unknown	unknown	unknown
ASV396	unknown	unknown	unknown	unknown	unknown
ASV397	unknown	unknown	unknown	unknown	unknown
ASV398	unknown	unknown	unknown	unknown	unknown
ASV400	unknown	unknown	unknown	unknown	unknown
ASV401	unknown	unknown	unknown	unknown	unknown
ASV402	unknown	unknown	unknown	unknown	unknown
ASV403	unknown	unknown	unknown	unknown	unknown
ASV404	unknown	unknown	unknown	unknown	unknown
ASV405	unknown	unknown	unknown	unknown	unknown
ASV406	unknown	unknown	unknown	unknown	unknown
ASV407	unknown	unknown	unknown	unknown	unknown
ASV408	unknown	unknown	unknown	unknown	unknown
ASV409	unknown	unknown	unknown	unknown	unknown
ASV410	unknown	unknown	unknown	unknown	unknown
ASV411	unknown	unknown	unknown	unknown	unknown
ASV412	unknown	unknown	unknown	unknown	unknown
ASV414	unknown	unknown	unknown	unknown	unknown
ASV415	unknown	unknown	unknown	unknown	unknown
ASV417	unknown	unknown	unknown	unknown	unknown
ASV418	unknown	unknown	unknown	unknown	unknown
ASV419	unknown	unknown	unknown	unknown	unknown
ASV420	unknown	unknown	unknown	unknown	unknown
ASV421	unknown	unknown	unknown	unknown	unknown
ASV422	unknown	unknown	unknown	unknown	unknown
ASV424	unknown	unknown	unknown	unknown	unknown
ASV426	unknown	unknown	unknown	unknown	unknown
ASV429	unknown	unknown	unknown	unknown	unknown
ASV431	unknown	unknown	unknown	unknown	unknown
ASV432	unknown	unknown	unknown	unknown	unknown
ASV433	unknown	unknown	unknown	unknown	unknown
ASV434	unknown	unknown	unknown	unknown	unknown
ASV435	unknown	unknown	unknown	unknown	unknown
ASV437	unknown	unknown	unknown	unknown	unknown
ASV438	unknown	unknown	unknown	unknown	unknown
ASV439	unknown	unknown	unknown	unknown	unknown
ASV440	unknown	unknown	unknown	unknown	unknown
ASV441	unknown	unknown	unknown	unknown	unknown
ASV442	unknown	unknown	unknown	unknown	unknown
ASV443	unknown	unknown	unknown	unknown	unknown
ASV444	unknown	unknown	unknown	unknown	unknown
ASV445	unknown	unknown	unknown	unknown	unknown
ASV446	unknown	unknown	unknown	unknown	unknown
ASV447	unknown	unknown	unknown	unknown	unknown
ASV450	unknown	unknown	unknown	unknown	unknown
ASV451	unknown	unknown	unknown	unknown	unknown
ASV452	unknown	unknown	unknown	unknown	unknown
ASV453	unknown	unknown	unknown	unknown	unknown
ASV455	unknown	unknown	unknown	unknown	unknown
ASV456	unknown	unknown	unknown	unknown	unknown
ASV458	unknown	unknown	unknown	unknown	unknown
ASV460	unknown	unknown	unknown	unknown	unknown
ASV461	unknown	unknown	unknown	unknown	unknown
ASV462	unknown	unknown	unknown	unknown	unknown
ASV463	unknown	unknown	unknown	unknown	unknown
ASV464	unknown	unknown	unknown	unknown	unknown
ASV465	unknown	unknown	unknown	unknown	unknown
ASV466	unknown	unknown	unknown	unknown	unknown
ASV467	unknown	unknown	unknown	unknown	unknown
ASV470	unknown	unknown	unknown	unknown	unknown
ASV473	unknown	unknown	unknown	unknown	unknown
ASV474	unknown	unknown	unknown	unknown	unknown
ASV475	unknown	unknown	unknown	unknown	unknown
ASV476	unknown	unknown	unknown	unknown	unknown
