Capnocytophaga leadbetteri
Coprobacter fastidiosus
Fusobacterium nucleatum
Blautia hydrogenotrophica
Capnocytophaga sputigena
Blautia glucerasea
Solobacterium moorei
Megasphaera stantonii
Veillonella massiliensis
Prevotella nanceiensis
Sutterella wadsworthensis
Clostridium_sensu_stricto_1 paraputrificum
Prevotella intermedia
Holdemania filiformis
Lactobacillus iners
Campylobacter concisus
Desulfovibrio fairfieldensis
Fusobacterium nucleatum
Capnocytophaga granulosa
Cloacibacillus porcorum
Fusobacterium massiliense
Eisenbergiella tayi
Porphyromonas endodontalis
Alistipes ihumii
Blautia glucerasea
Megasphaera hexanoica
Alloprevotella rava
Parabacteroides distasonis
Alistipes indistinctus
Aggregatibacter segnis
Capnocytophaga gingivalis
Bacteroides plebeius
Rothia dentocariosa
Stenotrophomonas maltophilia
Lactobacillus delbrueckii
Rothia mucilaginosa
Howardella ureilytica
Prevotella histicola
Mitsuokella multacida
Corynebacterium appendicis
Actinomyces graevenitzii
Prevotella shahii
Slackia isoflavoniconvertens
Allisonella histaminiformans
Phocea massiliensis
Butyricicoccus pullicaecorum
Lachnoanaerobaculum umeaense
Filifactor alocis
Campylobacter hominis
Butyricimonas virosa
Collinsella tanakaei
Oribacterium sinus
Intestinimonas butyriciproducens
Brevibacterium pityocampae
Bilophila wadsworthia
Butyricimonas faecihominis
Prevotella salivae
Simonsiella muelleri
Faecalicoccus pleomorphus
Stomatobaculum longum
Prevotella intermedia
Oribacterium asaccharolyticum
Porphyromonas gingivalis
Peptoanaerobacter stomatis
Frisingicoccus caecimuris
Fusobacterium ulcerans
Brachybacterium muris
Butyricimonas virosa
Colidextribacter massiliensis
Neisseria oralis
Lactobacillus kalixensis
Dolosigranulum pigrum
Selenomonas artemidis
Fusobacterium necrophorum
Leuconostoc carnosum
Prevotella bivia
Oribacterium parvum
Acinetobacter lwoffii
Lachnoclostridium pacaense
Cardiobacterium hominis
Bacillus rigiliprofundi
Butyricimonas paravirosa
Leptotrichia goodfellowii
Parabacteroides distasonis
Lactonifactor longoviformis
Pseudoflavonifractor capillosus
Lautropia mirabilis
Dielma fastidiosa
Lactobacillus aviarius
Gordonibacter urolithinfaciens
Atopobium parvulum
Bilophila wadsworthia
Cutibacterium granulosum
Hungatella hathewayi
Lactobacillus algidus
Cellulomonas uda
Victivallis vadensis
Lactobacillus reuteri
Porphyromonas somerae
Oxalobacter formigenes
Luteimonas arsenica
Dermabacter hominis
Butyricimonas faecihominis
Coprobacillus cateniformis
Campylobacter gracilis
Bacteroides plebeius
Anaerotruncus colihominis
Propionibacterium freudenreichii
Peptococcus niger
Sphingomonas cynarae
Corynebacterium matruchotii
Lactobacillus gastricus
Cloacibacillus evryensis
Defluviitoga tunisiensis
Hathewaya histolytica
Prevotella denticola
